Date,Circle,Division,PSS,Equipment Name,PTR No.,PTR Capacity (MVA),Max Voltage,Time,Min Voltage,Time,Max Loading,Time,Min Loading,Time,Remarks
,,,,, , ,(kV),(hh:mm),(kV),(hh:mm),(Amp),(hh:mm),(Amp),(hh:mm),
17/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.77,3:00:00,26.4,22:00:00,4.5,15:00:00,4.2,19:00:00, 
17/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,3,0:00:00,0,0:00:00, , , , , 
17/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , ,3,0:00:00,0,0:00:00, , , , , 
18/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , ,31,19:00:00,19,16:00:00, 
18/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
18/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , ,17,13:00:00,13,16:00:00, 
18/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,49,13:00:00,34,10:00:00, 
18/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
18/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,13,18:00:00,10,15:00:00, 
18/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,25,14:00:00,10,10:00:00, 
18/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,16,19:00:00,10,0:00:00, 
18/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.65,2:00:00,0.51,5:00:00, 
18/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
18/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.83,8:00:00,26.5,21:00:00,4.6,2:00:00,4.2,8:00:00, 
18/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,5,0:00:00,0,0:00:00, , , , , 
18/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
19/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , ,29,2:00:00,21,14:00:00, 
19/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
19/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , ,17,19:00:00,11,11:00:00, 
19/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,54,20:00:00,33,9:00:00, 
19/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
19/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,15,13:00:00,8,11:00:00, 
19/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,25,0:00:00,12,5:00:00, 
19/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,14,20:00:00,9,13:00:00, 
19/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.42,19:00:00,0.35,10:00:00, 
19/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
